"parameter","fraction","units","seg_id","site_id","sample_id","replicate","date","info_type","result_type","data_provider","depth","sample_method","method_speciation","value","quantitation_limit","validator_qualifiers","interpreted_qualifiers"
"ammonia","total","ug/l","1501-9999","1501UWB1006_C","1501UWB1006_C_20190918T095000","1",2019-09-18,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",128,0.03,"A","Accepted"
"ammonia","total","ug/l","0503-9999","0503TANXXX1_C","0503TANXXX1_C_20220821T110000","1",2022-08-21,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",54.079,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0303-9999","0303LOR0009_C","0303LOR0009_C_20190629T100000","1",2019-06-29,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",46.1,0.03,"A","Accepted"
"ammonia","total","ug/l","1701-9999","1701LIL0779_C","1701LIL0779_C_20100821T131000","1",2010-08-21,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"unknown","as n",56,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20130907T083000","1",2013-09-07,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",31.249,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20230729T095000","1",2023-07-29,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",16.476,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20110924T082500","1",2011-09-24,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"unknown","as n",59,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0801-9999","0801WHE5670_DH","0801WHE5670_DH_20180821T100000","1",2018-08-21,"ow","lab","NYSDEC",NA,"vinyl_tube","as n",9.2,0.005,"A","Accepted"
"ammonia","total","ug/l","1302-9999","1302BLU0122A_C","1302BLU0122A_C_20160710T110000","1",2016-07-10,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",28,56,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1306-9999","1306UWB6107_DH","1306UWB6107_DH_20180813T173000","1",2018-08-13,"dp","lab","NYSDEC",NA,"probe/sensor","as n",33.2,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0906-9999","0906GRA0051_C","0906GRA0051_C_20170901T090000","1",2017-09-01,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",18,21,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0801-9999","0801UWB5515_NWS","0801UWB5515_NWS_20120920T132000","1",2012-09-20,"ow","lab","NYSDEC",NA,"water_bottle","as n",0,0.01,"U","Non-detect"
"ammonia","total","ug/l","1302-9999","1302BLU0122A_C","1302BLU0122A_C_20140601T110000","1",2014-06-01,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",38,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1701-9999","1701BLA0788_C","1701BLA0788_C_20110710T174500","1",2011-07-10,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"unknown","as n",113,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1302-9999","1302UWB0044H_C","1302UWB0044H_C_20110703T111500","1",2011-07-03,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"unknown","as n",110,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1702-9999","1702WIL1063A_DH","1702WIL1063A_DH_20180725T121722","1",2018-07-25,"dp","lab","NYSDEC",NA,"probe/sensor","as n",15.4,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0906-9999","0906GRA0051_C","0906GRA0051_C_20190615T100000","1",2019-06-15,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",47.8,0.03,"A","Accepted"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20130921T084500","1",2013-09-21,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",0,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1701-9999","1701LIL0779_C","1701LIL0779_C_20110825T120000","1",2011-08-25,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"unknown","as n",25,NA,"0","Data not flagged (quality control not applicable or historic data)
"
