"WATERBODY_CODE","WATERBODY_NAME","WATERBODY_CLASS","PUBLIC_WATER_SUPPLY","LATITUDE","LONGITUDE"
"0103UWB5345","Unnamed Water","unknown","FALSE",42.8522,-78.858398
"0901STL5150","Lake St Lawrence","unknown","TRUE",44.880199,-75.179199
"1301PUD5194","Pudding Street Pond","unknown","FALSE",41.442902,-73.789398
"1307UWBXXX1","Unnamed Waterbody (Olive)","unknown","FALSE",41.99189275,-74.26721502
"1301UWBXXX1","Unnamed Waterbody (Colonie Crossings)","unknown","FALSE",42.719,-73.792
"1302UWB5110","Unnamed Water","unknown","FALSE",41.3619,-73.7416
"1309UWBXXX2","Unnamed Waterbody (Rensselaerville)","unknown","FALSE",42.51927,-74.1422
"0302UWBXXX3","Unnamed Pond (Ellison Dog Park)","unknown","FALSE",43.149,-77.5178
"1303UWB0258D","Unnamed Water","unknown","FALSE",41.292999,-74.241501
"1309UWB6513","Unnamed Water","unknown","FALSE",42.383999,-73.906799
"1701DIV0641","Division Pond","unknown","FALSE",40.8852,-72.565903
"0101UWB5306","Unnamed Pond Grand Island","unknown","FALSE",42.965198,-78.951599
"0302UWBXXX1","Unnamed Pond Fairport","unknown","FALSE",43.119955,-77.405022
"0404UWB5318","Mosco Mosko Beachville Dam","unknown","FALSE",42.455,-77.63472
"1404PRIXXX1","Unnamed Pond Delancy","unknown","FALSE",42.232517,-74.9274
"0103PRIXXX1","Unnamed Pond Wales","unknown","FALSE",42.765822,-78.543686
"1306PRIXXX1","Unnamed Pond New Paltz","unknown","FALSE",41.74011,-74.168938
"1301UWB0339","Unnamed Pond Algonquin Park","unknown","FALSE",41.5219,-74.0615
"0101DEL0025","Delaware Park Lake","unknown","FALSE",42.932999,-78.8703
"1301UWB0420B","Fall Kill Pond","unknown","FALSE",41.7412,-73.8974
"1301LOU0161E","Lounsbury Pond","unknown","FALSE",41.270401,-73.922996
"1302CRO0059","Croton Falls Reservoir","unknown","TRUE",41.39253,-73.661534
"1702RE31074","New Rochelle Reservoir No.3","unknown","FALSE",40.9463,-73.8013
"0705PRIXXX2","Unnamed Pond Keuka Park","unknown","FALSE",42.537177,-77.131846
"0104PRIXXX1","Unnamed Pond Collins","unknown","FALSE",42.471866,-78.828332
"1311PRIXXX1","Unnamed Pond Bozenkill","unknown","FALSE",42.710576,-74.072321
"0301FLY0153X","Flynn Road Pond","unknown","FALSE",43.252857,-77.716156
"0602PRIXXX1","Unnamed Pond Deruyter","unknown","FALSE",42.756355,-75.916674
"1404ARC5574","Arctic Lake","unknown","FALSE",42.179298,-75.425201
"1306UWB0465D","Unnamed Pond East Of Bullville","unknown","FALSE",41.539799,-74.352303
"0705PRIXXX1","Unnamed Pond Burdett","unknown","FALSE",42.455792,-76.828638
"1301PRIXXX1","Unnamed Pond Slingerlands","unknown","FALSE",42.627523,-73.878835
"0102LA 5022","Lake La Salle","unknown","FALSE",43.004299,-78.781197
"1308PRIXXX1","Unnamed Pond Pine Plains","unknown","FALSE",41.976288,-73.582566
"1307PRIXXX1","Unnamed Pond Kingston","unknown","FALSE",41.883707,-74.128944
"1702RARXXX1","Raritan Bay Park Pond","unknown","FALSE",40.498819,-74.246519
"0704MUA5702","Muar Lakes","unknown","FALSE",42.880001,-77.262901
"0403AND0164","Andover Pond","unknown","FALSE",42.1656,-77.793602
"1301UWB0023B","Halsey Pond","unknown","FALSE",41.029098,-73.857696
"0602GLEXXX1","Glenn Lake","unknown","FALSE",42.480492,-75.492493
"1305UWB0381A","Mirror Lake","unknown","FALSE",41.9632,-73.757797
"1201UWB5030","Unnamed Water","unknown","FALSE",42.800098,-73.9104
"1310UWB0N74B","Unnamed Water","unknown","FALSE",42.4701,-73.495201
"1501MIR6598","Mirror Lake","unknown","FALSE",41.161999,-74.181503
"1310UWBXXX1","Meizinger Lake","unknown","FALSE",42.470006,-73.495059
"1301UWB0167B","Unnamed Water","unknown","FALSE",41.4132,-73.863098
"1702UWB0240A","Unnamed Water","unknown","FALSE",40.9016,-73.3881
"1702UWB1048","Unnamed Water","unknown","FALSE",40.8503,-73.877296
"1201UWB5446","Unnamed Water","unknown","FALSE",42.814999,-73.864403
"1301UWB0226E","Unnamed Water","unknown","FALSE",42.607498,-73.8909
"1501UWB6607","Unnamed Water","unknown","FALSE",41.219898,-74.2976
"0104UWBXXX1","Unnamed Pond Orchard Park","unknown","FALSE",42.7547,-78.7258
"0302TINXXX1","Tinker Park Pond","unknown","FALSE",43.067417,-77.570756
"0905CHA0303","Chaumont Pond","unknown","FALSE",44.2048,-74.943398
"1201VAL5032","Vale Park Ponds","unknown","FALSE",42.810699,-73.933502
"1701OYS0764","Oyster Pond","unknown","FALSE",41.072498,-71.891701
"0707UWBXXX1","Unnamed Pond Spafford","unknown","FALSE",42.893236,-76.355665
"1701PRIXXX1","Unnamed Pond Greenport","unknown","FALSE",41.081176,-72.38228
"0603UWBXXX1","Unnamed Pond Candor","unknown","FALSE",42.297541,-76.412739
"1201ILI0943","Ilion Rs No 2","unknown","FALSE",42.986698,-75.0672
"0104UWB5460","Unnamed Water","unknown","FALSE",42.713299,-78.7379
"1302UWB0044G","Lake Purdys","unknown","FALSE",41.323299,-73.669998
"1601UWB6475","Unnamed Water","unknown","FALSE",41.9235,-73.517799
"1004UWBXXX1","Unnamed Water","unknown","FALSE",44.25165869,-73.97178325
"0402UWBXXX1","Unnamed Water","unknown","FALSE",43.00052795,-77.6255858
