"LAKE_ID","FID","Shape","siteID","ycoord","xcoord","PANEL_USE","STRATUM","PROB_CAT","AREA_CAT","AREA_HA","PSTL_CODE","STATE_NM","GNIS_ID","GNIS_NAME","BORD_LAKE","STATE_PCT","ELEV","PERM_ID","REACHCODE_2","REACHCODE","FTYPE","FCODE","Eval_Status","SAMPLING_YR","SAMPLE_DATE","phos_trophic","chla_trophic","TP_threshold","TN_threshold","CHLA_threshold","microcystin","d.oxygen","statusTNT","keep","WgtAdj"
"1305SIL0378",56,"Point","LAK20_NY-10057",41.915654,-73.803211,"OverSamp","New_York","(20,50]","(20,50]",45.407171,"NY","New York",965256,"Silver Lake","Not_Border",100,114.6,"37094227","W02020008001312",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-03,"mesotrophic","mesotrophic","Fair","Good","Good","Non-detect","Fair","Target","yes",29.3333333333333
"1003DAI5107",57,"Point","LAK20_NY-10058",44.529342,-74.04218,"OverSamp","New_York","(4,10]","(4,10]",7.655333,"NY","New York",947988,"Daigneau Pond","Not_Border",100,516.3,"129690769","W04150406001589",4.15e+12,"LakePond",-26527,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",166
"0602WOO0148",58,"Point","LAK20_NY-10059",42.85276,-75.568675,"OverSamp","New_York","(20,50]","(20,50]",46.439384,"NY","New York",971682,"Woodman Pond","Not_Border",100,344.4,"62634790","W02050102001825",2.05e+12,"LakePond",-26527,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",29.3333333333333
"1006UWBXXX1",59,"Point","LAK20_NY-10060",43.664256,-73.568148,"OverSamp","New_York","(4,10]","(4,10]",7.596473,"NY","New York",," ","Not_Border",100,0,"168000090","W04150408013539",4.15e+12,"LakePond",-26532,"Target_Sampled",2020,2020-09-02,"mesotrophic","mesotrophic","Good",,"Fair","Non-detect","Poor","Target","yes",166
"1303ORA0239D",60,"Point","LAK20_NY-10061",41.346558,-74.194213,"OverSamp","New_York","(20,50]","(20,50]",28.776644,"NY","New York",959431,"Orange-Rockland Lake","Not_Border",100,177.4,"37100499","W02020008001659",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-05,"eutrophic","mesotrophic","Poor","Fair","Fair","Non-detect","Poor","Target","yes",29.3333333333333
"1104BRA0347",61,"Point","LAK20_NY-10062",43.716244,-73.702685,"OverSamp","New_York",">50",">50",616.036531,"NY","New York",944648,"Brant Lake","Not_Border",100,243.5,"89364961","W02020001008128",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2020-08-31,"oligotrophic","oligotrophic","Good","Good","Good","Non-detect","Fair","Target","yes",15.1515151515152
"0801GUL0969",62,"Point","LAK20_NY-10063",43.553056,-75.05823,"OverSamp","New_York",">50",">50",54.025846,"NY","New York",951932,"Gull Lake","Not_Border",100,0,"131846557","W04150101002766",4.15e+12,"LakePond",-26532,"Target_Sampled",2020,2020-07-08,"oligotrophic",,"Good",,,"Non-detect","Good","Target","yes",15.1515151515152
"NONE",63,"Point","LAK20_NY-10064",42.328745,-79.313692,"OverSamp","New_York","(1,4]","(1,4]",3.267197,"NY","New York",," ","Not_Border",100,0,"129447774","W05010002002790",5.01e+12,"LakePond",-26532,"NonTarget",2020,,,,,,,"Non-detect",,"NonTarget","yes",63.0344827586207
"0603CAY0008",64,"Point","LAK20_NY-10065",42.367015,-76.735404,"OverSamp","New_York",">50",">50",155.017088,"NY","New York",973997,"Cayuta Lake","Not_Border",100,401.4,"46466535","W02050103001465",2.05e+12,"LakePond",-26527,"Target_Sampled",2020,2020-07-22,"mesotrophic","mesotrophic","Fair","Poor","Fair","Non-detect","Good","Target","yes",15.1515151515152
"1301PET0161G",65,"Point","LAK20_NY-10066",41.259308,-73.918371,"OverSamp","New_York","(1,4]","(1,4]",3.692899,"NY","New York",960249,"Petersons Pond","Not_Border",100,0,"55500075","W02030101001721",2.03e+12,"LakePond",-26532,"Target_NoOwnerAccess",2020,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"1104PAR0432",66,"Point","LAK20_NY-10067",43.885987,-73.693169,"OverSamp","New_York",">50",">50",378.414206,"NY","New York",970453,"Paradox Lake","Not_Border",100,248.7,"89363377","W02020001001575",2.02e+12,"LakePond",-26527,"Target_Sampled",2020,2021-09-21,,,,,,"Non-detect","Good","Target","yes",15.1515151515152
"0801OTT0926",67,"Point","LAK20_NY-10068",43.591915,-75.11785,"OverSamp","New_York",">50",">50",60.162154,"NY","New York",970438,"Otter Lake","Not_Border",100,0,"131846419","W04150101002752",4.15e+12,"LakePond",-26532,"Target_Sampled",2020,2020-08-09,"oligotrophic","mesotrophic","Good",,"Good","Non-detect",,"Target","yes",15.1515151515152
"",68,"Point","LAK20_NY-10069",41.888825,-74.257818,"OverSamp","New_York","(1,4]","(1,4]",3.667974,"NY","New York",943392,"Beaver Lake","Not_Border",100,0,"61786723","W02020007001263",2.02e+12,"LakePond",-26532,"Target_NoOwnerAccess",2021,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"",69,"Point","LAK20_NY-10070",44.095797,-74.862536,"OverSamp","New_York","(4,10]","(4,10]",8.744707,"NY","New York",976088,"Cat Mountain Pond","Not_Border",100,530.4,"133098839","W04150302001629",4.15e+12,"LakePond",-26527,"Target_PhysicalAccess",2021,,,,,,,"Non-detect",,"Target","yes",166
"",70,"Point","LAK20_NY-10071",44.130407,-74.425245,"OverSamp","New_York","(4,10]","(4,10]",9.936485,"NY","New York",952500,"Heavens Lake","Not_Border",100,0,"132434791","W04150305001393",4.15e+12,"LakePond",-26532,"Target_NoOwnerAccess",2021,,,,,,,"Non-detect",,"Target","yes",166
"",71,"Point","LAK20_NY-10072",42.547273,-74.921497,"OverSamp","New_York","(1,4]","(1,4]",2.88773,"NY","New York",," ","Not_Border",100,545.6,"43494666","W02050101002263",2.05e+12,"LakePond",-26527,"Target_NoOwnerAccess",2021,,,,,,,"Non-detect",,"Target","yes",63.0344827586207
"1501GRE1026",72,"Point","LAK20_NY-10073",41.185271,-74.322037,"OverSamp","New_York",">50",">50",748.605552,"NY","New York",876818,"Greenwood Lake","NY:NJ",55.27659,0,"60437711","W02030103001898",2.03e+12,"LakePond",-26532,"Target_Sampled",2021,2021-09-28,,,,,,"Non-detect","Good","Target","yes",15.1515151515152
"0903BLA0029A",73,"Point","LAK20_NY-10074",44.481512,-74.756071,"OverSamp","New_York",">50",">50",255.472875,"NY","New York",975987,"Blake Falls Reservoir","Not_Border",100,381,"132433474","W04150305001565",4.15e+12,"LakePond",-26527,"Target_Sampled",2021,2020-07-16,"oligotrophic","oligotrophic","Good","Good","Good","Non-detect","Good","Target","yes",15.1515151515152
