"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"84","PROB_CAT","(4,10]","chlorophyll","50Pct",2,4.65,"",1.55532964391375,5.36123636499728
"85","PROB_CAT","(4,10]","chlorophyll","75Pct",3,4.96,"",4.59603248300322,5.42
"86","PROB_CAT","(4,10]","chlorophyll","90Pct",3,5.236,"",4.64403248300322,5.42
"87","PROB_CAT","(4,10]","chlorophyll","95Pct",3,5.328,"",4.68887587163747,5.42
"88","PROB_CAT","(4,10]","chlorophyll","Mean",4,4.1725,"0.727337363693768",2.7469449625499,5.59805503745009
"89","PROB_CAT","(4,10]","chlorophyll","Variance",4,2.17926875,"0.113603017482122",1.95661092719997,2.40192657280003
"90","PROB_CAT","(4,10]","chlorophyll","Std. Deviation",4,1.4762346527568,"0.0384772899315069",1.40082055026834,1.55164875524526
"91","PROB_CAT",">50","chlorophyll","5Pct",0,0.385,"",0.385,0.385
"92","PROB_CAT",">50","chlorophyll","10Pct",1,0.6036,"",0,1.53597637532199
"93","PROB_CAT",">50","chlorophyll","25Pct",3,2.86,"",0.361329147271662,3.45401265398361
"94","PROB_CAT",">50","chlorophyll","50Pct",7,3.5,"",2.94566448595848,6.62668277124808
"95","PROB_CAT",">50","chlorophyll","75Pct",10,6.69,"",4.55359975009197,26.1226510104105
"96","PROB_CAT",">50","chlorophyll","90Pct",12,8.872,"",6.60951199788569,35.5
"97","PROB_CAT",">50","chlorophyll","95Pct",13,17.265,"",7.03664732532122,35.5
"98","PROB_CAT",">50","chlorophyll","Mean",14,6.431,"1.87491649994197",2.75623118609385,10.1057688139062
"99","PROB_CAT",">50","chlorophyll","Variance",14,70.7655215714286,"3.16157570975425",64.5689470459136,76.9620960969435
"100","PROB_CAT",">50","chlorophyll","Std. Deviation",14,8.41222453168177,"0.187915556571704",8.04391680866643,8.78053225469711
